FID,OBJECTID,DM_REF,LTBREFNO,CATEGORY,DATE_LISTED,STAT_LISTING,HSREF,SHAPE,SE_ANNO_CAD_DATA
LISTEDBUILDINGS.1557,1557,,W081,C,06/01/1981,18-38 (even) Perth Rd,25585,"POLYGON ((339761.2 729809.9, 339760.75 729819.75, 339728.95 729817.5, 339729.18 729815.58, 339730.34 729805.890000001, 339730.8 729806, 339731.2 729806.050000001, 339733.75 729806.550000001, 339738.8 729807.75, 339739.65 729807.9, 339740.6 729808.15, 339741.4 729808.449999999, 339742.35 729808.6, 339743 729808.800000001, 339743.5 729808.85, 339744.4 729808.85, 339761.2 729809.9))",
LISTEDBUILDINGS.1558,1558,,W080,C,06/01/1981,10-16 (even) Perth Rd,25583,"POLYGON ((339776.65 729810.85, 339779.2 729811.1, 339779.65 729811.1, 339789.3 729811.800000001, 339788.8 729821.35, 339760.75 729819.75, 339761.2 729809.9, 339770.4 729810.449999999, 339773 729810.6, 339776.65 729810.85))",
LISTEDBUILDINGS.1559,1559,,C052,C,30/03/1994,"Caxton House, 11-19 (odd) Cowgate",25120,"POLYGON ((340435.46 730573.84, 340442.63 730565.619999999, 340455.93 730576.880000001, 340449.01 730585.18, 340435.46 730573.84))",
LISTEDBUILDINGS.1560,1560,,C143,A,04/02/1965,"Royal Exchange, Royal Exchange Lane, Panmure St",25507,"POLYGON ((340277.4 730548.199999999, 340274.75 730547.65, 340273.35 730547.300000001, 340268.45 730546.1, 340265.65 730557.6, 340251.35 730554.35, 340253.6 730544.25, 340259.05 730545.5, 340259.25 730544.550000001, 340261.8 730543.699999999, 340262.65 730543.9, 340265.2 730533.6, 340264.75 730533, 340265.9 730532.1, 340266.65 730533.050000001, 340291.65 730539.25, 340291.8 730538.85, 340297.2 730540.300000001, 340296.2 730544.25, 340296.7 730545.85, 340296 730547.65, 340294.95 730547.4, 340293.9 730551.6, 340294.45 730551.75, 340294.3 730552.35, 340277.4 730548.25, 340277.4 730548.199999999))",
LISTEDBUILDINGS.1561,1561,,N157,A,04/02/1965,"India Buildings, 2,4 Victoria Rd & 86 Bell St",25515,"POLYGON ((340215.13 730619.24, 340209.35 730631.65, 340198.15 730626.300000001, 340197.75 730626.1, 340197.65 730624.25, 340186.7 730619.050000001, 340188.6 730615.85, 340192.34 730609.57, 340200.6 730613.65, 340203.7 730613.75, 340203.87 730613.41, 340205.6 730610.050000001, 340204.85 730609.65, 340205.8 730607.800000001, 340203.9 730606.9, 340204.55 730605.6, 340196.97 730601.789999999, 340203.45 730590.86, 340221.65 730599.5, 340221.9 730599.65, 340222.1 730599.800000001, 340222.35 730600, 340222.55 730600.199999999, 340222.75 730600.449999999, 340222.9 730600.699999999, 340223 730600.800000001, 340223.05 730601, 340223.15 730601.199999999, 340223.15 730601.4, 340223.2 730601.5, 340223.2 730601.65, 340223.15 730601.85, 340223.15 730602, 340223.1 730602.15, 340215.13 730619.24))",
LISTEDBUILDINGS.1562,1562,,C104,A,12/07/1963,"City Churches, St Marys Tower or The Steeple, Nethergate",25370,"POLYGON ((340124.2 730111.9, 340122.65 730111.199999999, 340123.15 730110.050000001, 340124.85 730110.85, 340125.55 730109.35, 340126.65 730109.800000001, 340126 730111.35, 340131.83 730113.869999999, 340134.75 730115.300000001, 340135.2 730114.300000001, 340136.7 730115, 340130.8 730127.5, 340129.61 730126.880000001, 340129.36 730126.960000001, 340128.05 730127.35, 340126.7 730126.800000001, 340126.08 730124.890000001, 340120.45 730122.35, 340119.75 730124.1, 340119.19 730123.859999999, 340118.8 730123.699999999, 340119.5 730122.1, 340117.85 730121.4, 340118.3 730120.4, 340120.05 730121.199999999, 340124.2 730111.9))",
LISTEDBUILDINGS.1563,1563,,C105,A,12/07/1963,"City Churches, St Clements or Steeple Church, Nethergate",25374,"POLYGON ((340161.45 730121.949999999, 340162.35 730119.800000001, 340163.55 730120.25, 340162.85 730121.949999999, 340163.18 730122.09, 340155.38 730140.91, 340128.3 730129.65, 340129.36 730126.960000001, 340129.61 730126.880000001, 340130.8 730127.5, 340136.7 730115, 340135.2 730114.300000001, 340134.75 730115.300000001, 340131.83 730113.869999999, 340133.1 730110.800000001, 340161.45 730121.949999999))",
LISTEDBUILDINGS.1564,1564,,C106,A,12/07/1963,"City Churches, Old St Pauls & St Davids or South Church",25378,"POLYGON ((340176.16 730149.48, 340173.91 730155.050000001, 340173.75 730155.449999999, 340162 730150.75, 340164.5 730144.699999999, 340158.73 730142.300000001, 340158.22 730142.09, 340155.72 730141.050000001, 340155.38 730140.91, 340163.18 730122.09, 340166.42 730123.48, 340167.05 730123.75, 340167.75 730122, 340169.3 730122.6, 340168.6 730124.25, 340170.89 730125.210000001, 340171.56 730125.5, 340172.4 730125.85, 340173.94 730122.15, 340174.23 730121.439999999, 340174.5 730120.800000001, 340172.6 730120, 340173.15 730118.699999999, 340174.55 730119.300000001, 340175.05 730118.1, 340176.2 730118.6, 340175.5 730120.35, 340185.4 730124.449999999, 340186.15 730122.65, 340187.6 730123.25, 340187.15 730124.25, 340188.4 730124.75, 340187.8 730126.15, 340185.9 730125.4, 340183.67 730130.91, 340176.16 730149.48))",
LISTEDBUILDINGS.1565,1565,,C107,A,12/07/1963,"City Churches, St Marys East or Dundee Parish Church",25382,"POLYGON ((340176.16 730149.48, 340183.67 730130.91, 340187.75 730132.550000001, 340188.35 730131.1, 340189.4 730131.550000001, 340188.85 730132.949999999, 340192.8 730134.5, 340193.35 730133.199999999, 340194.5 730133.65, 340193.95 730135, 340195.53 730135.640000001, 340197.65 730136.5, 340198.2 730135.15, 340199.35 730135.65, 340198.9 730136.9, 340202.55 730138.449999999, 340203.1 730137.15, 340204.45 730137.75, 340203.9 730138.949999999, 340208.45 730140.800000001, 340209.05 730139.449999999, 340210.15 730139.9, 340209.75 730140.85, 340210.55 730141.199999999, 340210.1 730142.25, 340209 730141.800000001, 340207.7 730144.949999999, 340209.75 730145.85, 340209.59 730146.25, 340209.3 730147, 340207.2 730146.199999999, 340206.55 730147.800000001, 340207.35 730148.15, 340207.05 730148.949999999, 340206.25 730148.65, 340205.05 730151.65, 340206 730152.050000001, 340205.6 730153, 340204.7 730152.65, 340203.95 730154.449999999, 340206 730155.25, 340205.76 730155.810000001, 340205.45 730156.550000001, 340203.3 730155.65, 340201.95 730159.050000001, 340203.15 730159.5, 340202.8 730160.550000001, 340201.8 730160.15, 340201.35 730161.449999999, 340201 730161.310000001, 340200 730160.9, 340200.4 730159.75, 340196.3 730158.1, 340195.7 730159.449999999, 340196 730159.65, 340196.35 730159.949999999, 340196.65 730160.300000001, 340196.85 730160.699999999, 340196.95 730161, 340197.05 730161.449999999, 340197.05 730161.9, 340199.05 730162.65, 340196.4 730169.1, 340193.95 730168.1, 340193.6 730168.4, 340193.2 730168.550000001, 340192.8 730168.65, 340192.5 730168.75, 340191.85 730168.75, 340191.45 730169.699999999, 340185.05 730167.1, 340186.1 730164.6, 340181.05 730162.550000001, 340179.95 730162.1, 340181.51 730158.19, 340182.55 730155.6, 340188.65 730158.050000001, 340189.7 730155, 340176.16 730149.48))",
LISTEDBUILDINGS.1566,1566,,C088,A,12/07/1963,"The Howff, Meadowside/Barrack Street",25312,"POLYGON ((340095.75 730391.5, 340094.25 730390.75, 340093.36 730390.35, 340092.6 730390, 340091.9 730389.5, 340091.35 730389.050000001, 340090.85 730388.550000001, 340090.1 730387.35, 340089.7 730386.75, 340089.35 730386.15, 340089.1 730385.5, 340088.9 730384.4, 340088.9 730382.85, 340089.4 730378.25, 340089.55 730376.1, 340091.4 730358.699999999, 340093.25 730342.699999999, 340094.65 730331, 340095.25 730325.050000001, 340095.4 730323.949999999, 340095.6 730322.949999999, 340095.85 730321.75, 340096.2 730320.5, 340097.2 730318.199999999, 340097.49 730317.619999999, 340097.65 730317.300000001, 340098.1 730316.35, 340099.15 730314.25, 340102.45 730308.85, 340108.25 730299.800000001, 340110.75 730296.1, 340116 730288.199999999, 340120.48 730281.550000001, 340123.63 730276.9, 340126.28 730273.67, 340127.45 730274.449999999, 340130.49 730276.699999999, 340143.95 730286.65, 340149.1 730290.449999999, 340153.35 730293.35, 340162.9 730301.4, 340167.4 730305.1, 340180.3 730316.1, 340188.9 730323.5, 340189.13 730323.67, 340196.22 730330.550000001, 340201.65 730336.300000001, 340211.7 730346.699999999, 340212.45 730347.35, 340218.2 730353.199999999, 340220.4 730355.4, 340215.39 730361.890000001, 340208.43 730370.92, 340200.3 730381.449999999, 340194.39 730388.949999999, 340185.41 730400.369999999, 340177.17 730410.99, 340175.53 730413.1, 340158.3 730408.5, 340142.55 730404.35, 340142.35 730404.289999999, 340139.6 730403.5, 340130.15 730401.15, 340119.45 730398.25, 340105.55 730394.6, 340100.95 730393.1, 340097.3 730392.1, 340095.75 730391.5))",
